scode,price,change,changepct,volume,color,name
AAPL,179.4500,4.8900,2.8000,"115,402,731",/#E24A4A,Apple Inc
MSFT,342.5400,9.4400,2.8300,"38,095,694",/#E24A4A,Microsoft Corporation
GOOG,"2,973.5000",11.3800,0.3800,"1,081,923",/#E24A4A,Alphabet Inc Class C
AMZN,"3,444.2400",-39.1800,-1.1200,"3,034,488",/#3485FF,"Amazon.com, Inc."
NKE,169.0600,0.9600,0.5700,"4,791,125",/#E24A4A,Nike Inc
PG,155.4600,2.1400,1.4000,"7,172,321",/#E24A4A,Procter & Gamble Co
XOM,63.0100,0.4000,0.6400,"17,942,383",/#E24A4A,Exxon Mobil Corp
V,213.4000,2.0100,0.9500,"8,882,718",/#E24A4A,Visa Inc
MA,349.9200,5.4000,1.5700,"3,405,910",/#E24A4A,Mastercard Inc
NFLX,611.6600,0.6600,0.1100,"2,748,774",/#E24A4A,Netflix Inc
BAC,44.5200,0.0300,0.0700,"37,700,187",/#E24A4A,Bank of America Corp
JNJ,165.4900,-0.4100,-0.2500,"6,572,247",/#3485FF,Johnson & Johnson
WMT,141.0300,2.5300,1.8300,"12,858,541",/#E24A4A,Walmart Inc
IONQ,18.5700,-0.0400,-0.2100,"3,626,935",/#3485FF,IONQ Inc
ADBE,654.4500,21.8800,3.4600,"2,872,975",/#E24A4A,Adobe Inc
LCID,37.6600,1.1400,3.1200,"91,795,824",/#E24A4A,Lucid Group Inc
PFE,52.7800,0.7000,1.3400,"26,079,361",/#E24A4A,Pfizer Inc.
HD,415.4000,4.0600,0.9900,"2,625,183",/#E24A4A,Home Depot Inc
NVDA,301.9800,-2.9200,-0.9600,"48,882,509",/#3485FF,NVIDIA Corporation
JPM,159.8200,-0.6400,-0.4000,"10,405,374",/#3485FF,JPMorgan Chase & Co.
FB,329.7500,-0.0700,-0.0200,"14,527,969",/#3485FF,Meta Platforms Inc
ABNB,180.4200,-1.0400,-0.5700,"3,980,441",/#3485FF,Airbnb Inc
AMD,138.5500,0.4500,0.3300,"42,224,275",/#E24A4A,"Advanced Micro Devices, Inc."
DIS,152.7100,-0.2300,-0.1500,"10,247,891",/#3485FF,Walt Disney Co
U,139.4700,-0.5300,-0.3800,"3,691,212",/#3485FF,Unity Software Inc
TSM,119.1300,-0.3700,-0.3100,"5,973,913",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
RBLX,115.8900,-0.4100,-0.3500,"11,778,202",/#3485FF,Roblox Corp
NKLA,9.7200,-0.2200,-2.2100,"7,377,308",/#3485FF,Nikola Corporation
SBUX,116.7300,1.3800,1.2000,"6,110,960",/#E24A4A,Starbucks Corporation
BA,205.0600,-2.5000,-1.2000,"6,040,048",/#3485FF,Boeing Co
RIVN,114.6600,-0.7400,-0.6400,"8,387,504",/#3485FF,Rivian Automotive Inc
ASML,781.8400,9.2300,1.1900,"602,664",/#E24A4A,ASML Holding NV
CEI,1.1000,0.0300,2.8000,"13,013,785",/#E24A4A,Camber Energy Inc
MRNA,257.0600,-15.1500,-5.5700,"17,506,624",/#3485FF,Moderna Inc
UNH,478.2300,4.9100,1.0400,"2,572,300",/#E24A4A,UnitedHealth Group Inc
BABA,125.0600,1.1500,0.9300,"15,008,280",/#E24A4A,Alibaba Group Holding Ltd - ADR
MU,85.5400,0.6100,0.7200,"11,955,861",/#E24A4A,"Micron Technology, Inc."
PYPL,188.5100,-3.2400,-1.6900,"11,908,148",/#3485FF,Paypal Holdings Inc
PLTR,18.9400,-0.2700,-1.4100,"27,594,490",/#3485FF,Palantir Technologies Inc